miserable, dreadful;schrecklich, furchtbar
tiny;winzig, sehr klein
to view something as ...;etwas als ... betrachten
to take part in;teilnehmen
to admire;bewundern
sheer (number of sth.);rein (-e Menge von etwas), bloß, nur
awkward;seltsam, eigenartig
to liken;vergleichen
state of mind;Gemütszustand, Geisteszustand
distraction;Ablenkung
occasionally;gelegentlich
fragment;Bruchstück, Stück
tap;(Wasser-)Hahn
clogged;verstopft
to silence;stumm schalten
domestic chores;Hausarbeiten
laundry;Wäsche
domestic;häuslich, im Haus
snatches;Schnapper, Schnipsel
to pace around;herumgehen, schlendern
