to save money;Geld sparen
to purchase;kaufen
second-hand;gebraucht (-es Produkt)
pocket money;Taschengeld
to work out sth.;etwas ausarbeiten, erarbeiten, berechnen
income;Einkommen, Einkünfte
to assess;bewerten, beurteilen
spending (noun);Ausgaben
estimate;Einschätzung
to estimate;einschätzen, schätzen
odd job;Gelegenheitsarbeit
belongings;Eigentum
garage sale;Garagenabverkauf, Flohmarkt
to draw up;erstellen, aufstellen
to stick to sth.;bei etwas bleiben
excess;Überschuss
to exceed;überschreiten, übersteigen
to deposit;hinterlegen, einzahlen
cash;Bargeld
hasty;eilig, schnell, unüberlegt
(a good) deal;(ein gutes) Angebot
price reduction;Verbilligung, Preisreduktion
sale;Abverkauf
to bargain;feilschen, verhandeln (im kleinen)
salesperson;Verkaufspersonal, VerkäuferIn
shop display;Auslage (im Geschäft)
to desire;etwas verlangen
desire;Verlangen
temptation;Versuchung
reward;Belohnung
to regret;bereuen
advertising;Werbung
to budget;budgetieren (= ein Budget erstellen)
to abandon;verlassen, zurücklassen, aufgeben
to decline;ablehnen
