superhuman;übermenschlich
confined to;beschränkt auf
retired;pensioniert, in Pension
recently;vor kurzem, kürzlich
fastener;Verschluss, Befestigung
purely;ausschließlich
gift;Fähigkeit, Geschenk, Gabe
curious;neugierig
curiosity;Neugierde
to claim;behaupten, beanspruchen
sucker;Saugnapf
tentacles;Tentakeln
villain;Bösewicht
on the contrary;im Gegenteil
to guard sth.;etwas bewachen
property;Hab und Gut, Eigentum, (häufig Grund)
grumpy;mürrisch, grantig
guide dog;Blindenhund
echoes;Echos
digestion;Verdauung
indigestible;unverdaulich
to swallow;schlucken
to digest;verdauen
intestines;Gedärme, Organe, Innereien, Eingeweide
stomach;Magen
acid;Säure
to persuade sbd.;jemanden überreden
