nutrition;Ernährung
tricked;ausgetrickst
peanut;Erdnuss
obesity;Fettleibigkeit
eating out;auswärts essen (Ausgehen)
moderate;gemäßigt
to boost;steigern, anregen
mood ;Stimmung, Laune
to recommend;empfehlen
demanding;anspruchsvoll
endorphins;Endorphine (Glücks Hormone)
self-esteem;Selbstwertgefühl
self-esteen;Selbsteinschätzung
sense of achievement;Erfolgserlebnis
pride;Stolz
metabolism;Stoffwechsel
diabetes;Diabetes
disease;Krankheit
to age (well);(gut) altern
(medical) condition;(medizinischer) Zustand
to be at risk of;gefährdet sein
to quicken;beschleunigen, beleben
limbs;Gliedmassen
abdomen;Bauchraum, Oberkörper-Bauch
joint;Gelenk
