equation;Gleichung
to follow, to grasp, to comprehend;verstehen [mehrere Synonyme]
laboratory;Labor
inhospitable;unwirtlich, lebensfeindlich
confines;Beschränkungen, Grenzen
to be confined to sth.;auf etwas beschränkt sein
conditions;Bedingungen
in search of;auf der Suche nach
microbes;Mikroorganismen
vital;sehr wichtig, notwendig, erforderlich
clue;Hinweis
to be given a headache;Kopfweh bekommen [von etwas]
"to take delight in ";Freude empfinden an etwas
pleasure;Freude, Vergnügen
to prompt;auffordern, veranlassen
contract;Vertrag
recipe;Kochrezept
prescription;Arztrezept
to prescribe;verschreiben
receipt;Rechnung, Beleg
original;ursprünglich
"shelf [pl. ""shelves""]";Regal [+ Mehrzahl]
progress;Fortschritt
to progress;fortschreiten
exhibit;Ausstellungsstück
exhibition;Ausstellung, Messe
installation;Kunstausstellung, Installation
