herbivore;Pflanzenfresser
palm;Handfläche
antilope;Antilope
violent;gewalttätig
feral;verwildert, wild, ungezähmt
ape;Affe
folklore;Sage (Geschichte)
to capture;einfangen, aufnehmen, fangen
genuine;echt, original, ehrlich
anthropology;Evolutionswissenschaft
nomads;Nomaden, Reisende
herd;Herde
leopardess;Leopardin
to recover;wiederherstellen
to tear [tear-tore-torn];reißen
astonishing;erstaunlich, unglaublich
to come across, to come uppon;entdecken, finden, begegnen
to come up, to approach;sich annähern
to take away;entfernen, wegnehmen
to keep up;mithalten
to look after;betreuen, aufpassen
account;Bericht
to claim;behaupten
villager;Dorfbewohner
occasionally;gelegentlich
leap;Sprung
records;Aufzeichnungen
companion;Gefährte
barely;kaum
angle;Winkel
find;Fund
apparently;anscheinend
actually;tatsächlich
to suggest;vorschlagen, andeuten, hinweisen auf
orphan;Waisenkind
orphanage;Waisenhaus
remote;abgelegen, entlegen
cutlery (= spoon, knife, fork);Besteck
